survived,pclass,sex,age,sibsp,parch,fare,embarked,embark_town,alone,deck_known,family_size,is_alone,fare_log,age_group
0,3,male,22.0,1,0,7.25,S,Southampton,False,0,2,0,2.1102132003465894,Young Adult
1,1,female,38.0,1,0,71.2833,C,Cherbourg,False,1,2,0,4.2805931204649,Adult
1,3,female,26.0,0,0,7.925,S,Southampton,True,0,1,1,2.188856327665703,Young Adult
1,1,female,35.0,1,0,53.1,S,Southampton,False,1,2,0,3.9908341858524357,Young Adult
0,3,male,35.0,0,0,8.05,S,Southampton,True,0,1,1,2.2027647577118348,Young Adult
0,3,male,,0,0,8.4583,Q,Queenstown,True,0,1,1,2.246892662898172,
0,1,male,54.0,0,0,51.8625,S,Southampton,True,1,1,1,3.967694202798607,Adult
0,3,male,2.0,3,1,21.075,S,Southampton,False,0,5,0,3.0944457464900235,Child
1,3,female,27.0,0,2,11.1333,S,Southampton,False,0,3,0,2.495953738718064,Young Adult
1,2,female,14.0,1,0,30.0708,C,Cherbourg,False,0,2,0,3.436268471383741,Teen
1,3,female,4.0,1,1,16.7,S,Southampton,False,1,3,0,2.8735646395797834,Child
1,1,female,58.0,0,0,26.55,S,Southampton,True,1,1,1,3.3160025355989236,Adult
0,3,male,20.0,0,0,8.05,S,Southampton,True,0,1,1,2.2027647577118348,Young Adult
0,3,male,39.0,1,5,31.275,S,Southampton,False,0,7,0,3.4742929367327062,Adult
0,3,female,14.0,0,0,7.8542,S,Southampton,True,0,1,1,2.180891922715322,Teen
1,2,female,55.0,0,0,16.0,S,Southampton,True,0,1,1,2.833213344056216,Adult
0,3,male,2.0,4,1,29.125,Q,Queenstown,False,0,6,0,3.405355391810819,Child
1,2,male,,0,0,13.0,S,Southampton,True,0,1,1,2.6390573296152584,
0,3,female,31.0,1,0,18.0,S,Southampton,False,0,2,0,2.9444389791664403,Young Adult
1,3,female,,0,0,7.225,C,Cherbourg,True,0,1,1,2.1071782966514356,
0,2,male,35.0,0,0,26.0,S,Southampton,True,0,1,1,3.295836866004329,Young Adult
1,2,male,34.0,0,0,13.0,S,Southampton,True,1,1,1,2.6390573296152584,Young Adult
1,3,female,15.0,0,0,8.0292,Q,Queenstown,True,0,1,1,2.2004637699272855,Teen
1,1,male,28.0,0,0,35.5,S,Southampton,True,1,1,1,3.597312260588446,Young Adult
0,3,female,8.0,3,1,21.075,S,Southampton,False,0,5,0,3.0944457464900235,Child
1,3,female,38.0,1,5,31.3875,S,Southampton,False,0,7,0,3.4777725458882283,Adult
0,3,male,,0,0,7.225,C,Cherbourg,True,0,1,1,2.1071782966514356,
